cluster,fixed_single_k_precision,fixed_single_k_recall,fixed_single_k_f1,fixed_single_k_contam,fixed_single_k_runtime_s,full_core_precision,full_core_recall,full_core_f1,full_core_contam,full_core_runtime_s,no_anchor_prior_precision,no_anchor_prior_recall,no_anchor_prior_f1,no_anchor_prior_contam,no_anchor_prior_runtime_s,no_candidate_protocol_precision,no_candidate_protocol_recall,no_candidate_protocol_f1,no_candidate_protocol_contam,no_candidate_protocol_runtime_s,no_center_refinement_precision,no_center_refinement_recall,no_center_refinement_f1,no_center_refinement_contam,no_center_refinement_runtime_s,no_objective_regularization_precision,no_objective_regularization_recall,no_objective_regularization_f1,no_objective_regularization_contam,no_objective_regularization_runtime_s,no_quality_cut_precision,no_quality_cut_recall,no_quality_cut_f1,no_quality_cut_contam,no_quality_cut_runtime_s,no_support_gate_precision,no_support_gate_recall,no_support_gate_f1,no_support_gate_contam,no_support_gate_runtime_s,tier
UBC1037,1.0,0.976470588235294,0.988095238095238,0.0,0.0408515999952214,1.0,0.988095238095238,0.9940119760479044,0.0,0.1453657000092789,1.0,0.976470588235294,0.988095238095238,0.0,0.095330099997227,1.0,0.9882352941176472,0.9940828402366864,0.0,0.5475398000053247,1.0,0.976470588235294,0.988095238095238,0.0,0.0469147000039811,1.0,0.976470588235294,0.988095238095238,0.0,0.0942221000004792,1.0,0.9882352941176472,0.9940828402366864,0.0,0.0905170999976689,0.0,0.0,0.0,1.0,0.0980036000037216,1
UBC1038,1.0,0.9803921568627452,0.99009900990099,0.0,0.0400886000061291,1.0,0.9607843137254902,0.98,0.0,0.1522301000077277,1.0,0.9803921568627452,0.99009900990099,0.0,0.0838449000002583,1.0,1.0,1.0,0.0,0.3699800999966101,1.0,0.9803921568627452,0.99009900990099,0.0,0.0404464000021107,1.0,0.9803921568627452,0.99009900990099,0.0,0.0808614999987185,1.0,0.9803921568627452,0.99009900990099,0.0,0.0871591999966767,0.0,0.0,0.0,1.0,0.0876577999952132,1
UBC1039,1.0,0.7586206896551724,0.8627450980392156,0.0,0.0367727999982889,1.0,1.0,1.0,0.0,0.1338324000826105,1.0,0.7758620689655172,0.8737864077669902,0.0,0.0883336000042618,1.0,0.8448275862068966,0.9158878504672896,0.0,0.4231233000027714,1.0,0.7758620689655172,0.8737864077669902,0.0,0.0580317999992985,1.0,0.7758620689655172,0.8737864077669902,0.0,0.0799044000013964,1.0,0.8103448275862069,0.8952380952380952,0.0,0.0813462000005529,0.0,0.0,0.0,1.0,0.0959427999987383,0
UBC1040,1.0,0.825,0.9041095890410958,0.0,0.0313924000001861,1.0,1.0,1.0,0.0,0.1301237000152468,1.0,0.825,0.9041095890410958,0.0,0.0880381000024499,1.0,1.0,1.0,0.0,0.2752693000002182,1.0,0.825,0.9041095890410958,0.0,0.0381832999992184,1.0,0.825,0.9041095890410958,0.0,0.0721468000047025,1.0,0.825,0.9041095890410958,0.0,0.0780054999995627,0.0,0.0,0.0,1.0,0.0865674000015133,0
UBC1041,1.0,1.0,1.0,0.0,0.0281537999981082,1.0,0.8571428571428571,0.923076923076923,0.0,0.1412434999365359,1.0,1.0,1.0,0.0,0.0851315000036265,1.0,1.0,1.0,0.0,0.2528896999938297,1.0,1.0,1.0,0.0,0.0367697999972733,1.0,1.0,1.0,0.0,0.075461800006451,1.0,1.0,1.0,0.0,0.0815424000029452,0.0,0.0,0.0,1.0,0.0860219000023789,2
UBC1042,1.0,0.968421052631579,0.983957219251337,0.0,0.0649046000035014,1.0,0.9042553191489362,0.9497206703910616,0.0,0.1462215000065043,1.0,0.9789473684210528,0.9893617021276596,0.0,0.0976884000046993,1.0,0.9894736842105264,0.9947089947089948,0.0,0.6701037000020733,1.0,0.9789473684210528,0.9893617021276596,0.0,0.0465564000041922,1.0,0.9789473684210528,0.9893617021276596,0.0,0.0900760000004083,1.0,0.9789473684210528,0.9893617021276596,0.0,0.0911828000025707,0.7833333333333333,0.9894736842105264,0.8744186046511628,0.2166666666666666,0.1010097000034875,2
UBC1043,1.0,1.0,1.0,0.0,0.0336750000060419,1.0,0.9032258064516128,0.9491525423728812,0.0,0.1282690999796614,1.0,1.0,1.0,0.0,0.0765246000009938,1.0,1.0,1.0,0.0,0.223756699997466,1.0,1.0,1.0,0.0,0.0381944999971892,1.0,1.0,1.0,0.0,0.0749300999959814,1.0,1.0,1.0,0.0,0.0718654000011156,0.0,0.0,0.0,1.0,0.0849949000039487,2
UBC1044,1.0,1.0,1.0,0.0,0.0550403000015649,1.0,1.0,1.0,0.0,0.1264234000118449,1.0,1.0,1.0,0.0,0.0797120999995968,1.0,1.0,1.0,0.0,0.2284488000004785,1.0,1.0,1.0,0.0,0.0345955000011599,1.0,1.0,1.0,0.0,0.076057899997977,1.0,1.0,1.0,0.0,0.0758442000005743,0.0,0.0,0.0,1.0,0.0795528000016929,0
UBC1045,1.0,0.9814814814814816,0.9906542056074767,0.0,0.0743391999931191,1.0,0.981132075471698,0.9904761904761904,0.0,0.1377630000934004,1.0,0.9814814814814816,0.9906542056074767,0.0,0.0840960999994422,1.0,0.9814814814814816,0.9906542056074767,0.0,0.4439884999956121,1.0,0.9814814814814816,0.9906542056074767,0.0,0.0403097999951569,1.0,0.9814814814814816,0.9906542056074767,0.0,0.0809827000048244,1.0,1.0,1.0,0.0,0.0834825999991153,0.3166666666666666,0.7037037037037037,0.4367816091954023,0.6833333333333333,0.0855427999995299,1
UBC1046,1.0,1.0,1.0,0.0,0.0440157999983057,1.0,1.0,1.0,0.0,0.1309669000329449,1.0,1.0,1.0,0.0,0.0782404999990831,1.0,1.0,1.0,0.0,0.2213580000025103,1.0,1.0,1.0,0.0,0.0373019999969983,1.0,1.0,1.0,0.0,0.0699820999943767,1.0,1.0,1.0,0.0,0.0713501999998698,0.0,0.0,0.0,1.0,0.0828525999968405,0
