cluster,method,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,extra_1,extra_2
UBC1268,gmm_bic,4422,4422,0,22,22,1.0,1.0,1.0,0.0,0.9164110999554396,center0,0.0,10067.741771672729,GMM|k=5|cv=dia,50.0,22.0
UBC1269,gmm_bic,3819,3819,0,19,190,0.0,0.0,0.0,1.0,1.1801518000429496,center0,0.0,12007.022728412136,GMM|k=5|cv=ful,190.0,482.0
UBC1270,gmm_bic,7839,7839,0,39,42,0.9285714285714286,1.0,0.962962962962963,0.0714285714285714,0.9521819999208674,center0,0.0,9915.898074595912,GMM|k=5|cv=ful,61.0,42.0
UBC1271,gmm_bic,6834,6834,0,34,34,1.0,1.0,1.0,0.0,0.613321500015445,center0,0.0,6759.745379422666,GMM|k=5|cv=dia,51.0,34.0
UBC1272,gmm_bic,5226,5226,0,26,26,1.0,1.0,1.0,0.0,0.9530437000794336,center0,0.0,16656.803717105373,GMM|k=5|cv=ful,50.0,26.0
UBC1273,gmm_bic,7236,7236,0,36,264,0.0,0.0,0.0,1.0,0.6823692000471056,center0,0.0,17718.62827727078,GMM|k=5|cv=ful,333.0,264.0
UBC1274,gmm_bic,9849,9849,0,49,78,0.0,0.0,0.0,1.0,0.8237189999781549,center0,0.0,8708.346719932566,GMM|k=4|cv=ful,115.0,78.0
UBC1275,gmm_bic,3216,3216,0,16,16,1.0,1.0,1.0,0.0,1.1172062999103218,center0,0.0,13254.56940123318,GMM|k=5|cv=ful,50.0,16.0
UBC1276,gmm_bic,4422,4422,0,22,221,0.0,0.0,0.0,1.0,0.8212360999314114,center0,0.0,13932.374348132596,GMM|k=5|cv=ful,221.0,522.0
UBC1277,gmm_bic,4221,4221,0,21,211,0.0,0.0,0.0,1.0,1.1854465999640524,center0,0.0,19359.34387633084,GMM|k=5|cv=ful,211.0,651.0
UBC1278,gmm_bic,4221,4221,0,21,211,0.0,0.0,0.0,1.0,0.8623654000693932,center0,0.0,20009.89400882722,GMM|k=4|cv=ful,211.0,719.0
UBC1279,gmm_bic,7838,7839,1,38,38,1.0,0.9743589743589745,0.9870129870129868,0.0,1.1951013000216335,center0,0.0,9123.698701350671,GMM|k=5|cv=ful,57.0,38.0
UBC1280,gmm_bic,12864,12864,0,64,229,0.2794759825327511,1.0,0.4368600682593856,0.7205240174672489,0.7235755999572575,center0,0.0,8523.12170454739,GMM|k=5|cv=ful,358.0,229.0
UBC1281,gmm_bic,3417,3417,0,17,170,0.0,0.0,0.0,1.0,1.1329342999961227,center0,0.0,15817.534555881008,GMM|k=5|cv=ful,170.0,543.0
UBC1282,gmm_bic,3216,3216,0,16,160,0.0,0.0,0.0,1.0,0.9935111000668256,center0,0.0,15462.789571140029,GMM|k=5|cv=ful,160.0,455.0
UBC1283,gmm_bic,6230,6231,1,30,30,1.0,0.967741935483871,0.9836065573770492,0.0,0.9513712000334636,center0,0.0,10989.797939746364,GMM|k=5|cv=ful,50.0,30.0
UBC1284,gmm_bic,3819,3819,0,19,190,0.0,0.0,0.0,1.0,0.9678425999591128,center0,0.0,16373.462320263425,GMM|k=3|cv=ful,190.0,485.0
UBC1285,gmm_bic,6432,6432,0,32,180,0.0,0.0,0.0,1.0,1.09198040002957,center0,0.0,15352.400173633085,GMM|k=5|cv=ful,265.0,180.0
UBC1286,gmm_bic,5829,5829,0,29,291,0.0,0.0,0.0,1.0,1.0579974999418482,center0,0.0,12823.875780296336,GMM|k=4|cv=ful,291.0,376.0
UBC1287,gmm_bic,6231,6231,0,31,31,1.0,1.0,1.0,0.0,1.2763646999374032,center0,0.0,10362.271298854335,GMM|k=5|cv=ful,50.0,31.0
