cluster,method,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,extra_1,extra_2
UBC1345,heuristic_cut,5025,5025,0,25,25,1.0,1.0,1.0,0.0,0.007950700004585,center0,0.0,0.6701537798164918,HC_SINGLE_SIGMA_2.50,487.0,
UBC1346,heuristic_cut,4422,4422,0,22,22,1.0,1.0,1.0,0.0,0.0088275000452995,center0,0.0,0.650041060252714,HC_SINGLE_SIGMA_2.50,488.0,
UBC1347,heuristic_cut,5226,5226,0,26,26,1.0,1.0,1.0,0.0,0.0103372000157833,center0,0.0,0.6791810371186457,HC_SINGLE_SIGMA_2.50,484.0,
UBC1348,heuristic_cut,3014,3014,0,14,319,0.0,0.0,0.0,1.0,0.0112510999897494,center0,0.0,3.409597722336855,HC_SINGLE_SIGMA_2.50,485.0,
UBC1349,heuristic_cut,4422,4422,0,22,22,1.0,1.0,1.0,0.0,0.0087486000265926,center0,0.0,0.6392250095593213,HC_SINGLE_SIGMA_2.50,487.0,
UBC1350,heuristic_cut,6030,6030,0,30,30,1.0,1.0,1.0,0.0,0.0093156999209895,center0,0.0,0.7101234913871702,HC_SINGLE_SIGMA_2.50,489.0,
UBC1351,heuristic_cut,8040,8040,0,40,40,1.0,1.0,1.0,0.0,0.0104737000074237,center0,0.0,0.7744136609991144,HC_SINGLE_SIGMA_2.50,483.0,
UBC1352,heuristic_cut,6834,6834,0,34,34,1.0,1.0,1.0,0.0,0.0191551999887451,center0,0.0,0.7307340172116659,HC_SINGLE_SIGMA_2.50,480.0,
UBC1353,heuristic_cut,7437,7437,0,37,37,1.0,1.0,1.0,0.0,0.0105812998954206,center0,0.0,0.748105486501337,HC_SINGLE_SIGMA_2.50,485.0,
UBC1354,heuristic_cut,8442,8442,0,42,42,1.0,1.0,1.0,0.0,0.0115128000034019,center0,0.0,0.7866663695599543,HC_SINGLE_SIGMA_2.50,488.0,
UBC1355,heuristic_cut,4824,4824,0,24,24,1.0,1.0,1.0,0.0,0.0096485998947173,center0,0.0,0.6603697704940078,HC_SINGLE_SIGMA_2.50,478.0,
UBC1356,heuristic_cut,5226,5226,0,26,26,1.0,1.0,1.0,0.0,0.0088556000264361,center0,0.0,0.6806071378495417,HC_SINGLE_SIGMA_2.50,488.0,
UBC1357,heuristic_cut,8241,8241,0,41,41,1.0,1.0,1.0,0.0,0.0120847000507637,center0,0.0,0.7709821748444751,HC_SINGLE_SIGMA_2.50,484.0,
UBC1358,heuristic_cut,10854,10854,0,54,55,0.9818181818181818,1.0,0.9908256880733944,0.0181818181818181,0.0123882999178022,center0,0.0,0.8303047635874606,HC_SINGLE_SIGMA_2.50,484.0,
UBC1359,heuristic_cut,3819,3819,0,19,19,1.0,1.0,1.0,0.0,0.0070483000017702,center0,0.0,0.6079087333048748,HC_SINGLE_SIGMA_2.50,480.0,
